brand,avg_rating,reviews_count,performance_score
9 Elements,4.5,237.0,24.625218031521637
AURORA TRADE,3.0,2.0,3.2958368660043287
Air Wick,3.5,21.0,10.818648586754106
Alayna,4.05,6.0,7.880936103674018
Aleve,4.8,1008.0,33.20023209769732
AllTopBargains,3.8,77.0,16.555493541420446
Alpine Industries,5.0,4.0,8.047189562170502
Amerteer,4.5,2.0,4.943755299006493
Amscan,4.6,5.0,8.242093558449053
Ankishi,3.3,3.0,4.574771391695639
Anself,4.5,4.0,7.242470605953451
Arm & Hammer,4.65,434.0,28.250359044562384
AsaVea,5.0,1.0,3.4657359027997265
Auto Drive,4.6,156.0,23.258730704602215
Avid Armor,4.8,95.0,21.908871319045613
BESTHUA,3.0,1.0,2.0794415416798357
BIC,4.6,367.0,27.177181515577082
Babo Botanicals,4.7,32.0,16.43358553889246
Bad Piggies,1.0,1.0,0.6931471805599453
Bee's Wrap,5.0,3.0,6.931471805599453
Benzodent,4.9,14.0,13.26944598540083
Bestgoods,3.0,2.0,3.2958368660043287
Bikini Zone,5.0,1.0,3.4657359027997265
Biotene,4.3,588.0,27.42723258970182
Bloomingmore,5.0,1.0,3.4657359027997265
Bright Starts,4.8,27.0,15.994581648840978
Buster's,5.0,1.0,3.4657359027997265
CLR,4.0,1.0,2.772588722239781
COVERGIRL,4.3,46.0,16.55563468735325
Cafe Bustelo,4.4,7.0,9.149542783391277
California Basics,4.8,4.0,7.725301979683681
Camille Rose,4.8,37.0,17.46041356668665
Camkey,4.2,227.0,22.803251641608654
Carter's by DaVinci,4.7,14.0,12.727835945180388
Catiga Electronics,4.8,34.0,17.065670695149183
Centerel,5.0,1.0,3.4657359027997265
Cheers.US,1.0,2.0,1.0986122886681096
Chy Hair Grow,5.0,4.0,8.047189562170502
Citrus Magic,4.3,353.0,25.237976726475228
Clean & Clear,4.6,1271.0,32.88239042194031
Clean-eez,4.1,18.0,12.072199814582405
Clorox,4.8,20.0,14.61370770107243
Clorox Healthcare,5.0,1.0,3.4657359027997265
Clothes Shaver,5.0,24.0,16.094379124341003
Coca-Cola,3.5,120.0,16.785266909588593
Colgate,4.6,150.0,23.07948724934865
Comfy Package,5.0,4.0,8.047189562170502
Corn Huskers,5.0,7.0,10.39720770839918
Cricket,5.0,1.0,3.4657359027997265
Cricket's Nursery,1.0,1.0,0.6931471805599453
Cricut,3.0,1.0,2.0794415416798357
DURASACK®,4.9,31.0,16.98210592371866
Danlai,4.8,5.0,8.600445452294663
Dawn,5.0,2.0,5.493061443340547
DenTek,4.0,3.0,5.545177444479562
Diplastible,3.0,2.0,3.2958368660043287
Diversey,3.5,2.0,3.8451430103383837
Do it Best Tools,3.7,9.0,8.519564844077971
Dove,4.3,4642.0,36.305398748485665
Downy,4.9,132.0,23.962710728286595
Dr. Fresh,4.4,267.0,24.60034271424777
Dreambaby,3.7,44.0,14.084651212150183
ELB,5.0,2.0,5.493061443340547
EcoRaider,3.9,80.0,17.13835170322251
Elbourn,5.0,1.0,3.4657359027997265
EltaMD,4.4,5.0,7.883741664603442
Eucerin,4.333333333333333,599.0,27.720028505936632
Exterminators Choice,3.0,2.0,3.2958368660043287
Extraordinary Bites,1.0,2.0,1.0986122886681096
Fairywill,4.55,62.5,18.88723157183884
Febreze,4.7,186.0,24.58621049921656
Find Your Happy Place,4.6,66.0,19.34158604919844
